Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Less than high school graduate,Margin of Error!!Total!!Less than high school graduate,Estimate!!Total!!High school graduate (includes equivalency),Margin of Error!!Total!!High school graduate (includes equivalency),Estimate!!Total!!Some college or associate's degree,Margin of Error!!Total!!Some college or associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Graduate or professional degree,Margin of Error!!Total!!Graduate or professional degree,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Less than high school graduate,Margin of Error!!Total!!Male!!Less than high school graduate,Estimate!!Total!!Male!!High school graduate (includes equivalency),Margin of Error!!Total!!Male!!High school graduate (includes equivalency),Estimate!!Total!!Male!!Some college or associate's degree,Margin of Error!!Total!!Male!!Some college or associate's degree,Estimate!!Total!!Male!!Bachelor's degree,Margin of Error!!Total!!Male!!Bachelor's degree,Estimate!!Total!!Male!!Graduate or professional degree,Margin of Error!!Total!!Male!!Graduate or professional degree,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Less than high school graduate,Margin of Error!!Total!!Female!!Less than high school graduate,Estimate!!Total!!Female!!High school graduate (includes equivalency),Margin of Error!!Total!!Female!!High school graduate (includes equivalency),Estimate!!Total!!Female!!Some college or associate's degree,Margin of Error!!Total!!Female!!Some college or associate's degree,Estimate!!Total!!Female!!Bachelor's degree,Margin of Error!!Total!!Female!!Bachelor's degree,Estimate!!Total!!Female!!Graduate or professional degree,Margin of Error!!Total!!Female!!Graduate or professional degree,
Georgia,31576,174,17175,366,25278,364,30796,244,48474,1157,61061,543,37148,305,19567,692,30066,586,37315,551,60281,1483,79386,2799,26995,320,14155,662,20955,355,25880,398,40012,1113,52077,524,
Hawaii,35202,677,18662,1641,28921,1062,33917,2183,43487,2372,61009,1028,40853,679,20307,2806,31927,1024,40961,1085,51202,1179,70734,4283,30750,432,17540,1957,25262,964,29599,1298,38269,3110,52122,2685,
Idaho,27388,520,17634,1622,23617,1094,26330,706,39171,1912,53652,3230,32397,852,21744,1285,27446,1427,32417,1434,50031,2728,70651,2428,22205,550,13063,1231,19097,1254,21436,683,30851,1443,45771,1932,
Illinois,35687,192,20413,340,26860,287,32067,241,49478,887,65275,1031,41883,224,22648,881,32052,344,40780,428,60975,513,81130,1124,29640,454,16145,386,21776,283,26825,348,40626,448,53981,1196,
Indiana,31372,164,18744,767,26300,313,30942,317,42884,1042,57526,1181,38374,672,21356,600,32153,371,40093,698,52033,525,70825,1979,25586,279,14683,1033,20749,362,25042,521,36475,614,50604,984,
Iowa,31761,216,19631,1076,26164,383,31143,342,41632,559,55940,1135,37399,461,21704,1062,31471,450,37891,1036,51479,970,66079,4317,26617,352,16052,1010,20750,434,25724,517,36036,733,50398,886,
Kansas,31794,266,19937,909,25362,591,30298,413,42036,518,55046,1964,39137,1091,22918,1303,31183,556,36623,835,53036,2998,66370,1415,26345,531,14184,1531,19447,867,24571,883,35675,847,46869,1009,
Kentucky,30294,268,17635,886,24355,618,30207,465,42150,500,51576,686,35184,590,20590,819,29703,1223,36786,1020,52300,1216,61858,1998,25391,352,14092,1198,20389,433,25315,596,36333,971,47291,964,
Louisiana,31528,273,18120,1046,26419,531,30827,375,45181,929,54014,1525,40629,382,24377,2360,35733,705,41635,729,53293,2675,70151,5113,24690,513,12492,709,19826,583,23932,796,39721,1166,48549,1366,
Maine,30965,425,19903,2039,25114,700,30325,644,40932,1015,52071,944,36181,702,21840,976,30946,727,36091,950,48693,2903,62191,4129,26273,482,13872,2089,19991,658,25920,573,35961,1910,48299,2136,
Maryland,44240,592,21684,481,31627,372,41279,470,55616,1019,78316,1936,50698,362,25479,944,36748,857,47438,1319,66800,1331,95636,2682,39419,740,16838,737,27181,689,36477,820,48578,1076,65720,1280,
Massachusetts,41800,226,20850,601,31030,378,37127,400,52457,911,68607,1634,50190,347,24852,1525,36986,745,44987,1514,64396,2504,86731,2058,35871,438,16856,873,25112,842,31658,471,45399,921,58782,2033,
Michigan,31617,160,16633,499,24180,511,30254,264,46045,637,65162,1080,39067,625,19477,1091,29913,834,37421,757,57266,1182,76612,1587,26361,261,13404,985,19635,446,24723,560,36799,593,56631,780,
