state,mental health,depression,mentally ill,mental illness,unwell,not well,struggle,self harm,suicidal,i hate myself,anymore,help me,cutting,pain,kill me,anxiety,social anxiety,worse,unmotivated,lost,trauma,unwanted,bpd,ptsd,suicide,vulnerable,lonely,sad,miserable,low,hopeless,aching,always,never,down,stressed,helpless,worthless,insecure,stuck,hurting,numb,intrusive,don't know why,crying,nothing matters,empty,overwhelmed,hurt,tired,grippy socks,stressy depressy,suey,kms,kill myself,crippling,unalive,unaliving
IL,0.7640490741210562,-0.7097892617411843,-0.09524759083241179,0.1353850440381477,0.5967757447334174,0.7250554379978881,0.37486839254287596,-0.01887297797743999,-0.23047609047802692,-0.4856355483058642,0.4707355484188108,0.7573561065532456,0.5147110783255645,0.49884443337930856,0.5220229978968991,0.5091998291929777,0.4733230208061677,0.7544829174787332,0.4910033067388031,0.6607270082527437,0.7748328455553268,0.003788032877417056,0.9113280848828653,0.37879419754712956,-0.38813471656887316,0.4783402603506632,-0.5979203719217552,-0.3109045631497903,-0.1202022059116744,0.7812871855300583,-0.13393335569280307,0.22521060017064967,0.5396133985896134,0.299376656488766,0.5360005496496726,-0.17279915627123332,-0.6719182766599167,-0.6160938121920478,0.07169184400751187,0.7272672581442816,0.7602289062885337,0.6490593259616833,0.8118206240966043,0.20466795319417574,0.2908694592269897,0.28278755901990843,0.7130401314080704,0.7005039739104264,0.7478617683563028,0.5991311642457785,0.7224846847455245,0.14912420395321307,0.5897902245859629,0.03367611315126307,0.005690899054513285,-0.1347472125140053,0.6901409205513539,0.3013686773545172
IN,0.8097450990879193,-0.7449469759944428,-0.2729128734946779,0.07894741529736925,0.6664998691899217,0.7592630986536414,0.7044759316423074,-0.2068293941125151,-0.36541375070201565,-0.4166791781697632,0.564715224168933,0.710774986162285,0.6635232055554692,0.46755639637318114,0.5057727100869804,0.47770238890343575,0.09251220262496408,0.7914964495333224,0.7585182499440943,0.5461471470363609,0.8379408773941107,-0.07496236964321538,0.9227598682278548,0.30559413176256106,-0.3984156403135644,0.5341403879835659,-0.5559978549108419,-0.36599926973884644,-0.20135205501889392,0.7354355605154409,0.22920233277009136,0.2116122478519046,0.722513994753036,0.06440492169213963,0.6161495001765003,-0.19173362420189513,-0.3006692613241416,-0.37635649936707977,0.035398340850553545,0.6459683268722379,0.7231832263794289,0.622504026005607,0.7242885098794838,0.2565208183913536,0.1520540309939705,0.34529762037623,0.7847114673320884,0.6802468760268198,0.7871275473581074,0.6037543897721857,0.4194544802768384,0.0,0.7404486873371713,-0.38670873758724905,-0.07937137863642092,-0.23496157852517396,0.6178011725007698,0.0
IA,0.8092980286206575,-0.8216218044213225,-0.36530978243809553,-0.09117937850897813,0.43794611696194724,0.7880285244845381,0.8390467247422899,-0.005708070183042679,-0.44177508991489844,-0.15830855126804444,0.5270874092935997,0.7091195329026078,0.6741539971362511,0.5694419338505382,0.4979744613511159,0.48513121037550494,0.3503064286317689,0.7452616124871925,-0.2298570435145472,0.5593765038429127,0.8152110947358046,-0.0523152804377163,0.903572592690517,0.2799258102044112,-0.400735415544435,0.36582295054317815,-0.59266682904008,-0.5648431688721376,0.1710789036910192,0.8655673410620838,0.322529645042442,0.40473017657399507,0.6390006187252604,0.35904471917402875,0.7098973636804257,-0.16280337967206354,0.12557742144538792,-0.4899026215012124,0.13661075556703728,0.6899839623296429,0.710665066184086,0.6222055426759128,0.7856663228903148,0.26560787350080534,0.06705843354230029,0.3635583755797797,0.7472984602852242,0.6116501023248382,0.7460370570074154,0.6029337281465751,-0.12356646160909421,0.0,0.286444795785354,0.017434009601785566,0.007005417793910864,-0.356666021708837,0.6720024393196,0.0
KS,0.7426514707803953,-0.6214409493539642,-0.06452064547523442,0.14277961814312587,0.3115645387750604,0.7263715390954201,0.4993234326690987,0.1043166717732949,0.2526617133780578,0.4452818528679449,0.5207689241473379,0.7430936725704653,0.7367201250372482,0.5475038773787573,0.5139372752093565,0.5535736029376663,0.1994478383357711,0.7081446763179169,0.5988643026626697,0.665449090602214,0.730440447947451,0.41359769629977633,0.8730288207338537,0.3424379158605563,-0.3942794274210428,0.4612227525724912,-0.5565222972763177,-0.43658814852485817,0.08019924641453906,0.7646829472665126,0.028906455810512793,0.37411630411529684,0.6119842510710949,0.3424972154037912,0.607222485986908,-0.12779428167757817,-0.4172454702354228,-0.5101356265833413,0.20099052294193692,0.7333525501824518,0.7027934672672989,0.6772552341824181,0.7111988506268748,0.2566330094630617,0.1393211211393359,0.36151216428692284,0.6801299491213902,0.6577416648143455,0.7495934262236102,0.6217529764622245,0.0,0.0,-0.015577741750017807,0.12474129888831124,0.12998114268443509,-0.3123118992624136,-0.1741156968628101,-0.20417603017768984
KY,0.8796498932984322,-0.530122789014203,-0.03191862992678123,0.46853742938304255,0.7928000808876486,0.8577313658514085,0.8202389086858524,-0.03689656454915124,0.013700549557154355,0.3373069513949474,0.6173736753150177,0.7936373588943811,0.7084844232104862,0.4841001495617028,0.6779628749456493,0.6005724373308229,0.23588900055348402,0.8455191045494633,0.7293116590822848,0.5340447913206398,0.8828330319666323,-0.009354789998259833,0.9434984713411538,0.6486537638800431,-0.37633077609429905,0.7347293930712372,-0.6945528043115224,-0.12273241495081362,-0.22260315866802308,0.8005875808470448,0.09389487603243944,0.4133037257928732,0.6762530832365248,-0.11061894603997406,0.6816910892397562,-0.1047205563710974,-0.1851618832372972,-0.19826836070707224,0.1424822199730848,0.7593198313296241,0.7742148932559326,0.6620840871888046,0.8650396543135828,0.3938788505999486,0.23296544379738326,0.4308003422323213,0.8504764255407752,0.681055717380754,0.7589855178552778,0.6766919102529725,0.0,0.5160923474527784,0.21075119380602045,-0.07819992349513795,0.27285940840655526,0.03447969556515525,0.0,-0.18987046345616412
LA,0.7566609754306987,-0.11148898368328371,-0.00537136979493045,0.38348832581511894,0.2634247852445414,0.7439351909321499,0.8846658788384612,-0.08832047696202161,-0.20803918836731308,0.11288908670435244,0.4703588018938222,0.7202163617925861,0.6493665056781426,0.4213649190302937,0.6097481939839838,0.5845962634214155,0.5009572492867269,0.7217033328034215,0.6409873147556037,0.4454100159810133,0.7346811403576785,0.3213908103211568,0.8787405572033485,0.51830445352481,-0.3147894275821347,0.7411609970718267,-0.6317912768666728,0.012083634688897501,-0.20213513764279709,0.7372859195785184,-0.07489906682122045,0.29076274128383045,0.5731880486221745,0.05072915906074173,0.5086324145317744,-0.05194013783686288,0.26541404820823994,-0.3072670377896116,-0.04416547530442621,0.6489485668146635,0.730374586885106,0.6286120256213621,0.7729332810704418,0.2881985326801071,0.195563314053112,0.3462055899293983,0.7881492813668339,0.7157192423039479,0.7271835853299798,0.5354111494959041,0.0,0.0,-0.06538459247794216,-0.005710785192364565,0.05937506379249955,-0.2525655327566506,0.14922659245699887,0.576042080448453
ME,0.7074488417277787,-0.849857701903435,-0.13294689244530541,-0.24578755029661128,0.13467328276202625,0.5678398409572125,0.34139502326463944,-0.023537121544167126,0.18078161144595786,0.09232996631880919,0.5421311738155219,0.640631950822996,0.7251924506447899,0.45861068916558284,0.4320691878544596,0.4647873534215205,0.07922424045068904,0.7101907014289677,0.07637060491271246,0.7805239432449234,0.6969699840099702,0.25669882146249784,0.8578873791203581,0.08911281110388211,-0.3796093335802575,0.2287680290534338,-0.7405727282804005,-0.7270866975261031,0.3688460595212549,0.7386568791662266,0.11260301843786447,0.19098551068678357,0.5426128240053961,-0.22295983810085435,0.4613799674669161,-0.06317447467744751,-0.2632908384706478,0.38422756904472394,0.27956928195138453,0.5870710475978449,0.6494464097879946,0.6096497806028819,0.6097486982118374,0.4451781420687999,0.32358301149229374,0.23476623614750666,0.6766383562157624,0.5453217164715903,0.7514105897102826,0.6278840172882414,0.0,0.5658099526107211,0.6427636013365786,0.2896645889799052,0.5273434039676697,-0.15219873795606334,0.0,0.0
MD,0.8523679947290597,-0.6176362572258906,-0.3291843573458868,0.0989337158677243,0.6009584965370747,0.8293326452721096,0.5326599563006837,0.32181271047213017,0.022960671096253434,0.1716736888779493,0.5422529648323876,0.7573859771019084,0.5773411035542252,0.44009839706863435,0.5051878870961103,0.46726838244123686,0.5715913854588687,0.8337301462128541,0.6923727551184822,0.5710359458739437,0.8400322260039944,-0.3232789706653138,0.9123029616627308,0.43606383307173957,-0.3744138762032392,0.4717096778491566,-0.5033521991983562,0.007905820430148633,-0.011701745660719617,0.8377554936210062,-0.01846483859362385,0.17819432664220675,0.762088097743335,0.43043287014384957,0.6837367947681622,-0.048590006450192895,-0.39439564810895433,-0.19535260278678285,-0.026729575316788625,0.5808673165639823,0.7245116389386904,0.6023469842026307,0.8714968808063863,0.25537841601706385,0.3198856489020982,0.6149885244747921,0.7372672905810669,0.6679056850950891,0.7842991435901405,0.605642744765262,0.8583684642494248,0.0,0.7504934011312125,0.15185482054335725,0.084172519676248,0.17342844344721686,0.8326551306151524,0.0
MA,0.7292452799881552,-0.840163924336759,-0.2858585076829856,-0.061911928510078776,0.5520356673635374,0.7017578397952753,0.06355525666436308,0.04765788765637166,-0.11434759984367864,-0.8013659027156459,0.48720538105482336,0.730632016554491,0.4549800378099283,0.5046988573187173,0.5380282083887311,0.48645426372027467,0.2937053186188299,0.7577449526503375,0.7520444621752722,0.6070672513110403,0.7583938984223484,-0.15929914108565063,0.7176174724424177,0.337680758448937,-0.4105283555810598,0.44128918588926014,-0.6546985522698394,-0.17578247230029168,-0.2423502211356172,0.8027387480959868,-0.17689809875536827,0.020623227064803667,0.5545141266689484,0.21989591802417016,0.5258779622818801,-0.12711007611633035,-0.5663969223822364,-0.03562199453819158,0.02854377561957008,0.562548281770877,0.7037497277881624,0.7379882682491418,0.8099998212641404,0.22352541744591065,0.2730766751340613,0.4918743035911653,0.5211155504759742,0.7052496021908412,0.8343815205573628,0.6277811054022527,0.6718531337153592,0.0,0.5813605981637763,0.008550465079322285,-0.326171836750585,0.0013845097970636578,0.6888760650361211,0.42717651107434557
MI,0.7712350692722504,-0.8060438058247203,-0.44414571005652054,0.12077315999997289,0.7039513122116441,0.7760970921820188,0.7020439872012534,-0.1661516658064167,-0.18602987459280315,-0.588965764494779,0.5884227531376025,0.7919101483411728,0.6415588009181779,0.5504350373077752,0.5738828567276,0.5830476725085293,0.30141259330253006,0.7886994775962859,0.6437494260846658,0.629857627479446,0.7992982016044139,0.13364596356978228,0.9280310423729076,0.5121313090512345,-0.39599611731016027,0.5576091855936892,-0.6438928153807534,-0.2291129816481254,-0.183911867655212,0.7814037875021349,-0.23561855005567628,0.2883014716165791,0.6668412795104156,0.18096672772610872,0.587509976225043,-0.1265869303724659,-0.5867232159726002,-0.47645450373494624,0.07121626308330639,0.6308406055297113,0.7955971853766303,0.6704902616368446,0.8031326163540237,0.3525731346881054,0.13254153378143696,0.3938830361738477,0.6712565037715367,0.8240401892703924,0.8338564925975414,0.6638516803492551,0.7754166518640185,-0.18452628134413304,0.3318209078341791,-0.2057910095470852,-0.26348098757752514,0.0006401204398021465,0.5584771562924956,0.7063703023696689
